iter	MultiClass
0	1.863206449
1	1.787421935
2	1.735410281
3	1.680844122
4	1.645021831
5	1.609140838
6	1.563035152
7	1.532147097
8	1.493068867
9	1.454695554
10	1.425402074
11	1.38887409
12	1.358570228
13	1.326427989
14	1.300304385
15	1.27005603
16	1.246875031
17	1.229652443
18	1.2085886
19	1.190319759
20	1.171527298
21	1.152326705
22	1.137159557
23	1.120449562
24	1.109424821
25	1.095614506
26	1.082931879
27	1.070316982
28	1.060617397
29	1.043932131
30	1.027364202
31	1.012938954
32	1.001602993
33	0.9906754562
34	0.9777599385
35	0.9689538639
36	0.9626268737
37	0.9523758875
38	0.9417769774
39	0.9319040366
40	0.9213039523
41	0.9105203504
42	0.9024087691
43	0.8954891219
44	0.8889517271
45	0.8796595945
46	0.8720718494
47	0.8674734378
48	0.8619538036
49	0.8515555088
50	0.8454572421
51	0.8392161024
52	0.8336284327
53	0.8279682607
54	0.8219365945
55	0.8150491614
56	0.8105408338
57	0.8051542804
58	0.7992250297
59	0.7916964017
60	0.7848406438
61	0.7789628413
62	0.774255765
63	0.7667488674
64	0.7605851569
65	0.75419545
66	0.7486203511
67	0.7443174726
68	0.7376490499
69	0.7328421815
70	0.7266965323
71	0.7212628165
72	0.7181136819
73	0.7147141112
74	0.7092747005
75	0.7054832646
76	0.7009424312
77	0.6944241716
78	0.689623281
79	0.6855196436
80	0.6814542208
81	0.6786544919
82	0.6735431578
83	0.668956114
84	0.6660072609
85	0.6601258
86	0.6568751612
87	0.6543591176
88	0.6500269272
89	0.6455860723
90	0.6423867161
91	0.6401135815
92	0.6374037661
93	0.6318028458
94	0.626686128
95	0.6236905439
96	0.6201393734
97	0.6178955445
98	0.6160058885
99	0.6120925487
100	0.6091539369
101	0.6059482105
102	0.6013630609
103	0.5986904358
104	0.5969283727
105	0.5933582021
106	0.5904970937
107	0.5879507403
108	0.5859755781
109	0.5835410649
110	0.57937677
111	0.5750696469
112	0.5729615441
113	0.5701053128
